Static block was called
Non-static block was called
10Leonid Kadeniuk	AstronautIntern 	20	100	0
Group position: x=1025.0, y=1200.0
Group position: x=1025.0, y=1190.0
Group position: x=1025.0, y=1180.0
Group position: x=1025.0, y=1170.0
Group position: x=1025.0, y=1160.0
Group position: x=1025.0, y=1150.0
Group position: x=1025.0, y=1140.0
Group position: x=1025.0, y=1130.0
Group position: x=1025.0, y=1120.0
Group position: x=1025.0, y=1110.0
Group position: x=1025.0, y=1100.0
Group position: x=1025.0, y=1090.0
Group position: x=1025.0, y=1080.0
Group position: x=1025.0, y=1070.0
Group position: x=1025.0, y=1060.0
Group position: x=1025.0, y=1050.0
Group position: x=1025.0, y=1040.0
Group position: x=1025.0, y=1030.0
Group position: x=1025.0, y=1020.0
Group position: x=1025.0, y=1010.0
Group position: x=1025.0, y=1000.0
Group position: x=1025.0, y=990.0
Group position: x=1025.0, y=980.0
Group position: x=1025.0, y=970.0
Group position: x=1025.0, y=960.0
Group position: x=1025.0, y=950.0
Group position: x=1025.0, y=940.0
Group position: x=1025.0, y=930.0
Group position: x=1025.0, y=920.0
Group position: x=1025.0, y=910.0
Group position: x=1025.0, y=900.0
Group position: x=1025.0, y=890.0
Group position: x=1025.0, y=880.0
Group position: x=1025.0, y=870.0
Group position: x=1025.0, y=860.0
Group position: x=1035.0, y=860.0
Group position: x=1045.0, y=860.0
Group position: x=1055.0, y=860.0
Group position: x=1065.0, y=860.0
Group position: x=1075.0, y=860.0
Group position: x=1085.0, y=860.0
Group position: x=1095.0, y=860.0
Group position: x=1105.0, y=860.0
Group position: x=1115.0, y=860.0
Group position: x=1125.0, y=860.0
Group position: x=1135.0, y=860.0
Group position: x=1125.0, y=860.0
Group position: x=1115.0, y=860.0
Group position: x=1105.0, y=860.0
Group position: x=1095.0, y=860.0
Group position: x=1085.0, y=860.0
Group position: x=1075.0, y=860.0
Group position: x=1065.0, y=860.0
Group position: x=1055.0, y=860.0
Group position: x=1045.0, y=860.0
